SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR
00000072,BEAUHARNOIS CANAL AT RTE 132 BRIDGE IN VALLEYFIELD,CANAL DE BEAUHARNOIS AU PONT-ROUTE 132 À VALLEYFIELD,RIVER/RIVIÈRE,,,45.224068,-74.115648,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000072.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000072.xls
00000075,ST.LAWRENCE RIVER WATER INTAKE AT THE WATER PLANT IN CONTRECOEUR,FLEUVE SAINT-LAURENT À LA PRISE D'EAU DE L'USINE DE FILTRATION DE CONTRECOEUR,RIVER/RIVIÈRE,,,45.855776,-73.243925,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000075.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000075.xls
00000078,ST.LAWRENCE RIVER WATER INTAKE AT THE WATER PLANT IN LASALLE,FLEUVE SAINT-LAURENT À LA PRISE D'EAU DE L'USINE DE FILTRATION DE LASALLE,RIVER/RIVIÈRE,,,45.412863,-73.634724,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000078.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/00000078.xls
00BR01AF0084,"SAINT JOHN RIVER BELOW ST. BASILE, RTE 144","RIVIÈRE SAINT-JEAN EN AVAL DE ST. BASILE, ROUTE 144",RIVER/RIVIÈRE,,,47.354916,-68.2318,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/33242?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/33242?type=2
00BR01AG0008,"AROOSTOOK RIVER ABOVE BRIDGE, RTE 2","RIVIÈRE AROOSTOOK EN AMONT DU PONT, ROUTE 2",RIVER/RIVIÈRE,,,46.82161,-67.7341,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/17719?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/17719?type=2
00BR01AH0019,"TOBIQUE RIVER BELOW ARTHURETTE BRIDGE, RTE 109","RIVIÈRE TOBIQUE EN AVAL DU PONT D'ARTHURETTE, ROUTE 109",RIVER/RIVIÈRE,,,46.783,-67.511,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/129?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/129?type=2
00BR01AJ0067,"BIG PRESQUE ISLE STREAM ABOVE BRIDGE, RTE 103","RUISSEAU BIG PRESQUE ISLE EN AMONT DU PONT, ROUTE 103",RIVER/RIVIÈRE,,,46.399805,-67.6106,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/1095?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/1095?type=2
00BR01AK0157,"SAINT JOHN RIVER BELOW UPPER QUEENSBURY, RTE 105","RIVIÈRE SAINT-JEAN EN AVAL DE UPPER QUEENSBURY, ROUTE 105",RIVER/RIVIÈRE,,,45.977361,-67.173,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/33239?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/33239?type=2
00BR01AL0036,"NASHWAAK RIVER ABOVE MARYSVILLE BRIDGE, RTE 8","RIVIÈRE NASHWAAK EN AMONT DU PONT DE MARYSVILLE, ROUTE 8",RIVER/RIVIÈRE,,,45.979304,-66.591,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/10536?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/10536?type=2
00BR01AP0067,"SAINT JOHN RIVER EVANDALE, RTE 102","RIVIÈRE SAINT-JEAN À EVANDALE, ROUTE 102",RIVER/RIVIÈRE,,,45.592638,-66.0269,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/320?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/320?type=2
00BR01AP0241,KENNEBECASIS RIVER ABOVE BLOOMFIELD BRIDGE,RIVIÈRE KENNEBECASIS EN AMONT DU PONT BLOOMFIELD,RIVER/RIVIÈRE,,,45.580087,-65.7567,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/10945?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/10945?type=2
00BR01AQ0003,"LEPREAU RIVER ABOVE BRIDGE, ROUTE 780","RIVIÈRE LEPREAU EN AMONT DU PONT, ROUTE 780",RIVER/RIVIÈRE,,,45.169683,-66.468,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/805?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/805?type=2
00BR01AR0092,"ST. CROIX RIVER ABOVE MILLTOWN BRIDGE, ROUTE 170","RIVIÈRE SAINTE-CROIX EN AMONT DU PONT DE MILLTOWN, ROUTE 170",RIVER/RIVIÈRE,,,45.17,-67.297,NAD83,NB,SAINT JOHN–ST. CROIX,SAINT-JEAN–ST-CROIX,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/210?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/210?type=2
00BR01BA0030,"RESTIGOUCHE RIVER BELOW MONTGOMERY BRIDGE, RTE 265","RIVIÈRE RESTIGOUCHE EN AVAL DU PONT MONTGOMERY, ROUTE 265",RIVER/RIVIÈRE,,,47.66232,-67.49287,NAD83,NB,MARITIME COASTAL,CÔTE DES PROVINCES MARITIMES,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/422?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/422?type=2
00BR01BK0042,"NEPISIGUIT RIVER BELOW BRIDGE, ROUTE 360","RIVIÈRE NEPISIGUIT EN AVAL DU PONT, ROUTE 360",RIVER/RIVIÈRE,,,47.441,-65.706,NAD83,NB,MARITIME COASTAL,CÔTE DES PROVINCES MARITIMES,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/582?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/582?type=2
00BR01BO0007,"SOUTHWEST MIRAMICHI RIVER BELOW QUARRYVILLE BRIDGE, RTE 108","RIVIÈRE MIRAMICHI SUD-OUEST EN AVAL DU PONT DE QUARRYVILLE, ROUTE 108",RIVER/RIVIÈRE,,,46.82792,-65.78584,NAD83,NB,MARITIME COASTAL,CÔTE DES PROVINCES MARITIMES,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/221?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/221?type=2
00BR01BS0085,"RICHIBUCTO RIVER ABOVE SMITHS CORNER BRIDGE, RTE 116","RIVIÈRE RICHIBUCTO EN AMONT DU PONT DE SMITHS CORNER, ROUTE 116",RIVER/RIVIÈRE,,,46.51,-65.163,NAD83,NB,MARITIME COASTAL,CÔTE DES PROVINCES MARITIMES,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/411?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/411?type=2
00BR01BU0176,"PETITCODIAC RIVER ABOVE SALISBURY BRIDGE, RTE 112","RIVIÈRE PETITCODIAC EN AMONT DU PONT DE SALISBURY, ROUTE 112",RIVER/RIVIÈRE,,,46.021209,-65.034621,NAD83,NB,MARITIME COASTAL,CÔTE DES PROVINCES MARITIMES,ATLANTIC,ATLANTIQUE,http://www.elgegl.gnb.ca/WaterNB-NBEau/en/SamplingLocation/Details/8194?type=2,http://www.elgegl.gnb.ca/WaterNB-NBEau/fr/Lieu%C3%89chantillonnage/Montrer/8194?type=2
02330001,ETCHEMIN RIVER AT BRIDGE - RTE 132 IN ST-ROMUALD,RIVIÈRE ETCHEMIN AU PONT-ROUTE 132 À SAINT-ROMUALD,RIVER/RIVIÈRE,,,46.76014,-71.228209,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02330001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02330001.xls
02340033,CHAUDIÈRE RIVER AT CHARNY WATER INTAKE - 5.6 KM FROM THE MOUTH OF THE RIVER (METALS : 02340037),"RIVIÈRE CHAUDIÈRE À LA PRISE D'EAU DE CHARNY À 5,6 KM DE L'EMBOUCHURE (MÉTAUX : 02340037)",RIVER/RIVIÈRE,,,46.701956,-71.280756,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02340033.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02340033.xls
02400004,BÉCANCOUR RIVER AT THE BRIDGE - RTE 132 AT BECANCOUR,RIVIÈRE BÉCANCOUR AU PONT-ROUTE 132 À BÉCANCOUR,RIVER/RIVIÈRE,,,46.352699,-72.439096,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02400004.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/02400004.xls
03020073,"MAGOG RIVER AT MERRY BRIDGE, AT THE MEMPHREMAGOG LAKE DISCHARGE - 32.7 KM FROM THE MOUTH","RIVIÈRE MAGOG AU PONT MERRY, À LA DÉCHARGE DU LAC MEMPHREMAGOG À 32,7 KM DE L'EMBOUCHURE",RIVER/RIVIÈRE,,,45.264125,-72.15776,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03020073.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03020073.xls
03020333,"COATICOOK RIVER, RTE 108 APPROX. 150M FROM THE INTERSECTION WITH RTE 143","RIVIÈRE COATICOOK, ROUTE 108 ENVIRON 150M DE L'INTERSECTION AVEC LA ROUTE 143",RIVER/RIVIÈRE,,,45.3192,-71.88725,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03020333.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03020333.xls
03040010,RICHELIEU RIVER AT FRYER DAM NORTH OF ST-JEAN-SUR-RICHELIEU,RIVIÈRE RICHELIEU AU BARRAGE FRYER AU NORD DE SAINT-JEAN-SUR-RICHELIEU,RIVER/RIVIÈRE,,,45.395974,-73.253758,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040010.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040010.xls
03040012,RICHELIEU RIVER AT C.N. BRIDGE EAST OF LACOLLE,RIVIÈRE RICHELIEU AU PONT DU C.N. À L'EST DE LACOLLE,RIVER/RIVIÈRE,,,45.061389,-73.332568,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040012.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040012.xls
03040015,AUX BROCHETS RIVER AT BRIDGE - RTE 133 AT PIKE RIVER,RIVIÈRE AUX BROCHETS AU PONT-ROUTE 133 À PIKE RIVER,RIVER/RIVIÈRE,,,45.123407,-73.069461,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040015.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03040015.xls
03090001,CHÂTEAUGUAY RIVER AT BRIDGE - RTE 205 NORTH OF SAINTE-MARTINE,RIVIÈRE CHÂTEAUGUAY AU PONT-ROUTE 205 AU NORD DE SAINTE-MARTINE,RIVER/RIVIÈRE,,,45.286022,-73.802267,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090001.xls
03090005,CHÂTEAUGUAY RIVER AT 1.6KM BELOW POWERSCOURT BRIDGE,"RIVIÈRE CHÂTEAUGUAY À 1,6 KM EN AVAL DU PONT DE POWERSCOURT",RIVER/RIVIÈRE,,,45.018305,-74.165785,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090005.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090005.xls
03090009,TROUT RIVER AT KENSINGTON (GAVIN BRIDGE),RIVIÈRE TROUT À KENSINGTON (PONT GAVIN),RIVER/RIVIÈRE,,,45.014274,-74.302908,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090009.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090009.xls
03090047,DES ANGLAIS RIVER 0.1 KM BELOW U.S. BORDER NEAR HEMMINGFORD,"RIVIÈRE DES ANGLAIS À 0,1 KM EN AVAL DE LA FRONTIÈRE DES U.S.A. PRÈS DE HEMMINGFORD",RIVER/RIVIÈRE,,,45.003508,-73.653371,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090047.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03090047.xls
03110003,SAINT-LOUIS RIVER AT BRIDGE - ROAD BETWEEN SAINTE-ANNE LANE ,RIVIÈRE SAINT-LOUIS AU PONT-ROUTE ENTRE LE RANG SAINTE-ANNE ET LE CHEMIN SAINT-LOUIS,RIVER/RIVIÈRE,,,45.27076,-73.89565,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03110003.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/03110003.xls
04010002,DU NORD RIVER AT BRIDGE - RTE 344 AT SAINT-ANDRÉ EAST,RIVIÈRE DU NORD AU PONT-ROUTE 344 À SAINT-ANDRÉ-EST,RIVER/RIVIÈRE,,,45.562617,-74.336728,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04010002.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04010002.xls
04040001,DE LA PETITE NATION RIVER AT BRIDGE - RTE 148 EAST OF PLAISANCE,RIVIÈRE DE LA PETITE NATION AU PONT-ROUTE 148 À L'OUEST DE PLAISANCE,RIVER/RIVIÈRE,,,45.60503,-75.127239,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04040001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04040001.xls
04060004,DU LIÈVRE RIVER AT BRIDGE - ROAD IN BUCKINGHAM,RIVIÈRE DU LIÈVRE AU PONT-ROUTE À BUCKINGHAM,RIVER/RIVIÈRE,,,45.585881,-75.418837,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04060004.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04060004.xls
04080003,GATINEAU RIVER AT BRIDGE - ROAD ABOVE CHELSEA STREAM NORTH OF GATINEAU,RIVIÈRE GATINEAU AU PONT-ROUTE EN AMONT DU RUISSEAU CHELSEA AU NORD DE GATINEAU,RIVER/RIVIÈRE,,,45.486983,-75.748901,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04080003.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04080003.xls
04300002,KINOJÉVIS RIVER AT BRIDGE - RTE 117 EAST OF MCWATTERS,RIVIÈRE KINOJÉVIS AU PONT-ROUTE 117 À L'EST DE MCWATTERS,RIVER/RIVIÈRE,,,48.208038,-78.863716,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04300002.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04300002.xls
04310008,OTTAWA RIVER AT CHENAUX DAM AT PORTAGE-DU-FORT,RIVIÈRE DES OUTAOUAIS AU BARRAGE CHENAUX À PORTAGE-DU-FORT,RIVER/RIVIÈRE,,,45.58427,-76.675083,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310008.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310008.xls
04310010,OTTAWA RIVER AT BRIDGE - RTE 101 AT NOTRE-DAME-DU-NORD,RIVIÈRE DES OUTAOUAIS AU PONT-ROUTE 101 À NOTRE-DAME-DU-NORD,RIVER/RIVIÈRE,,,47.58941,-79.484915,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310010.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310010.xls
04310011,OTTAWA RIVER AT MASSON CROSSING,RIVIÈRE DES OUTAOUAIS À LA TRAVERSE DE MASSON,RIVER/RIVIÈRE,,,45.522903,-75.410686,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310011.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310011.xls
04320069,DES MILLES ÎLES RIVER - BETWEEN MOULINS ISLAND AND SAINT-JEAN ISLAND IN TERREBONNE,"RIVIÈRE DES MILLE ÎLES, ENTRE L' ÎLE DES MOULINS ET L'ÎLE SAINT-JEAN À TERREBONNE",RIVER/RIVIÈRE,,,45.692429,-73.640537,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04320069.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04320069.xls
04330019,PRAIRIE RIVER AT THE MOUTH IN THE CENTER OF THE BRIDGE - RTE 138 (METALS: 04330017),RIVIÈRE DES PRAIRIES À SON EMBOUCHURE AU CENTRE DU PONT-ROUTE 138 (MÉTAUX : 04330017),RIVER/RIVIÈRE,,,45.704396,-73.483765,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04330019.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04330019.xls
05030001,BATISCAN RIVER AT BRIDGE AT SAINTE-GENEVIÈVE-DE-BATISCAN,RIVIÈRE BATISCAN AU PONT-ROUTE À SAINTE-GENEVIÈVE-DE-BATISCAN,RIVER/RIVIÈRE,,,46.525902,-72.338383,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05030001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05030001.xls
